feature,k,f1_mean,f1_std,accuracy_mean
Count,3,0.9128261711057268,0.02263677474428758,0.9557236572007582
Count,5,0.9030789195341746,0.01993938474541001,0.9511290083070554
Count,7,0.8895603821465891,0.023762945969304172,0.944865960290354
Count,9,0.8756613429635337,0.030651017482859765,0.9390160812711279
Count,11,0.8649673950629697,0.033282379580200666,0.9344196853626366
Count,15,0.8343301788503569,0.03331624219014965,0.92147255876521
Count,21,0.8153963912943611,0.04529436218720666,0.9147876066770906
TFIDF,3,0.9000429760211521,0.012665130201929208,0.9494544946322969
TFIDF,5,0.8815399343988307,0.012870567345947164,0.9415186799556258
TFIDF,7,0.8496305174162565,0.029253697270257593,0.926901407220412
TFIDF,9,0.8350508999812426,0.030054907006182775,0.9210541487233689
TFIDF,11,0.8299520843584022,0.025653809156775703,0.9189647190363466
TFIDF,15,0.807240732162159,0.03760014644946969,0.9101947047981762
TFIDF,21,0.7767833736289763,0.03385502278352235,0.8989168508311423
