feature,fold,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1
Count,1,0.10381078720092773,0.04876708984375,0.9102296450939458,0.8244274809160306,0.84375,0.833976833976834
Count,2,0.09919381141662598,0.03597736358642578,0.9102296450939458,0.8148148148148148,0.859375,0.8365019011406845
Count,3,0.08121466636657715,0.034544944763183594,0.9352818371607515,0.8592592592592593,0.90625,0.8821292775665399
Count,4,0.08148550987243652,0.04214906692504883,0.8810020876826722,0.808695652173913,0.7265625,0.7654320987654321
Count,5,0.09193778038024902,0.03602266311645508,0.897489539748954,0.8376068376068376,0.765625,0.8
TFIDF,1,0.0932002067565918,0.04233431816101074,0.9018789144050104,0.945054945054945,0.671875,0.7853881278538812
TFIDF,2,0.1072530746459961,0.0399174690246582,0.9102296450939458,0.912621359223301,0.734375,0.8138528138528138
TFIDF,3,0.0999147891998291,0.04250693321228027,0.9144050104384134,0.9578947368421052,0.7109375,0.8161434977578476
TFIDF,4,0.11933040618896484,0.04567289352416992,0.8684759916492694,0.891566265060241,0.578125,0.7014218009478673
TFIDF,5,0.09044051170349121,0.04216313362121582,0.9016736401673641,0.9550561797752809,0.6640625,0.783410138248848
