split,label,word,count
train,0,__money__,2313
train,0,__number__,1564
train,0,trong,1063
train,0,ngày,924
train,0,__url__,915
train,0,__time__,878
train,0,de,824
train,0,dung,814
train,0,ngay,798
train,0,viettel,793
train,0,tb,776
train,0,chi,755
train,0,quy,731
train,0,khach,708
train,0,lh,653
train,0,gia,625
train,0,truy,591
train,0,dụng,587
train,0,data,564
train,0,__date__,547
train,1,__url__,300
train,1,__money__,266
train,1,__number__,206
train,1,bạn,202
train,1,nhận,167
train,1,để,149
train,1,của,147
train,1,ngay,122
train,1,vào,116
train,1,vui,114
train,1,thông,106
train,1,tai,100
train,1,khoản,97
train,1,số,94
train,1,tài,92
train,1,tại,90
train,1,báo,89
train,1,tiền,89
train,1,ký,84
train,1,ban,82
test,0,__number__,726
test,0,__money__,532
test,0,gui,370
test,0,soan,308
test,0,ngay,299
test,0,de,225
test,0,nhan,183
test,0,qc,170
test,0,sau,163
test,0,phi,161
test,0,mien,151
test,0,dung,150
test,0,tc,150
test,0,km,142
test,0,tai,141
test,0,quy,132
test,0,lh,131
test,0,khach,127
test,0,tu,124
test,0,khi,123
test,1,__number__,122
test,1,__money__,99
test,1,bạn,74
test,1,để,59
test,1,của,42
test,1,nhận,42
test,1,liên,37
test,1,vào,36
test,1,vui,35
test,1,anh,34
test,1,ngay,33
test,1,hệ,32
test,1,không,30
test,1,khoản,29
test,1,cho,29
test,1,em,28
test,1,phí,27
test,1,số,26
test,1,có,26
test,1,vay,26
